SMILES_A
Nc1nc(=O)n(C2OC(CO)C(O)C2O)cn1
Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1
O=P1(NCCCl)OCCCN1CCCl
Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O
Cl[Pt]Cl.N.N
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(c6cccs6)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
COc1cccc2c1C(=O)c1c(O)c3c(CC(O)(C(=O)CO)CC3OC3CC(N)C(O)C(C)O3)c(O)c1C2=O
Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C
Nc1nc(=O)n(C2CC(O)C(CO)O2)cn1
CN(C)c1nc(N(C)C)nc(N(C)C)n1
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
O=c1[nH]cnc2c1cn[nH]2
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
NCC(=O)CCC(=O)O
O=c1[nH]cc(F)c(=O)[nH]1
OCC1OC(n2cnc3c2N=CNCC3O)CC1O
COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
N[Pt]1(N)OC(=O)C2(CCC2)C(=O)O1
COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(O)C(C)O5)C(O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1
CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(C(=O)c4c(OC)cccc4C3=O)c(O)c2C(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1
O=C(CCBr)N1CCN(C(=O)CCBr)CC1
CC(=O)C1(O)Cc2c(O)c3c(C(=O)c4ccccc4C3=O)c(O)c2C(OC2CC(N)C(O)C(C)O2)C1
O=P1(N(CCCl)CCCl)NCCCO1
O=C([O-])C(=O)[O-].[NH-]C1CCCCC1[NH-].[Pt+4]
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c12
NCCCNCCSP(=O)(O)O
Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
NC(=O)NO
O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
Cn1nnc2c(C(N)=O)ncn2c1=O
CC(C)Cn1cnc2c(N)nc3ccccc3c21
Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
O=NN(CCCl)C(=O)NCCCl
CN(C)N=Nc1c(C(N)=O)nc[nH]1
COc1c2occc2cc2c1oc(=O)cc2
